UWID,DateTime,Depth,temp,wqx.id,nhd_id
ME,1995-07-06,20,10.9,,nhd_13293262
ME,1995-07-06,21,10.9,,nhd_13293262
ME,1995-07-06,22,10.6,,nhd_13293262
ME,1995-07-06,23,10.6,,nhd_13293262
ME,1995-07-06,24,10.5,,nhd_13293262
ME,1995-07-06,25,10.4,,nhd_13293262
ME,1995-07-18,0,24.9,,nhd_13293262
ME,1995-07-18,1,25.1,,nhd_13293262
ME,1995-07-18,2,25.1,,nhd_13293262
ME,1995-07-18,3,25.1,,nhd_13293262
ME,1995-07-18,4,25.1,,nhd_13293262
ME,1995-07-18,5,25.1,,nhd_13293262
ME,1995-07-18,6,25.1,,nhd_13293262
ME,1995-07-18,7,25,,nhd_13293262
ME,1995-07-18,8,25,,nhd_13293262
ME,1995-07-18,9,18.5,,nhd_13293262
ME,1995-07-18,10,15.8,,nhd_13293262
ME,1995-07-18,11,14.3,,nhd_13293262
ME,1995-07-18,12,13.7,,nhd_13293262
ME,1995-07-18,13,13,,nhd_13293262
ME,1995-07-18,14,12.8,,nhd_13293262
ME,1995-07-18,15,12.5,,nhd_13293262
ME,1995-07-18,16,12.2,,nhd_13293262
ME,1995-07-18,17,11.8,,nhd_13293262
ME,1995-07-18,18,11.3,,nhd_13293262
ME,1995-07-18,19,11.1,,nhd_13293262
ME,1995-07-18,20,11.1,,nhd_13293262
ME,1995-07-18,21,11,,nhd_13293262
ME,1995-07-18,22,10.9,,nhd_13293262
ME,1995-07-18,23,10.8,,nhd_13293262
ME,1995-07-18,24,10.8,,nhd_13293262
ME,1995-08-02,0,25.5,,nhd_13293262
ME,1995-08-02,1,25.6,,nhd_13293262
ME,1995-08-02,2,25.6,,nhd_13293262
ME,1995-08-02,3,25.5,,nhd_13293262
ME,1995-08-02,4,25.6,,nhd_13293262
ME,1995-08-02,5,25.6,,nhd_13293262
ME,1995-08-02,6,25.6,,nhd_13293262
ME,1995-08-02,7,22.7,,nhd_13293262
ME,1995-08-02,8,21.5,,nhd_13293262
ME,1995-08-02,9,20,,nhd_13293262
ME,1995-08-02,9.5,19.5,,nhd_13293262
ME,1995-08-02,10,18.3,,nhd_13293262
ME,1995-08-02,10.5,16.5,,nhd_13293262
ME,1995-08-02,11,15.5,,nhd_13293262
ME,1995-08-02,11.5,14.8,,nhd_13293262
ME,1995-08-02,12,14.4,,nhd_13293262
ME,1995-08-02,12.5,13.8,,nhd_13293262
ME,1995-08-02,13,13.3,,nhd_13293262
ME,1995-08-02,13.5,13.1,,nhd_13293262
ME,1995-08-02,14,12.8,,nhd_13293262
ME,1995-08-02,15,12.4,,nhd_13293262
ME,1995-08-02,16,12.1,,nhd_13293262
ME,1995-08-02,17,11.9,,nhd_13293262
ME,1995-08-02,18,11.8,,nhd_13293262
ME,1995-08-02,19,11.5,,nhd_13293262
ME,1995-08-02,20,11.4,,nhd_13293262
ME,1995-08-02,21,11.3,,nhd_13293262
ME,1995-08-02,22,11.1,,nhd_13293262
ME,1995-08-02,23,10.9,,nhd_13293262
ME,1995-08-02,24,10.9,,nhd_13293262
ME,1995-08-02,24.5,10.8,,nhd_13293262
ME,1995-08-14,0,27.1,,nhd_13293262
ME,1995-08-14,1,27.1,,nhd_13293262
ME,1995-08-14,2,27.1,,nhd_13293262
ME,1995-08-14,3,27.1,,nhd_13293262
ME,1995-08-14,4,27,,nhd_13293262
ME,1995-08-14,5,26.9,,nhd_13293262
ME,1995-08-14,6,26.7,,nhd_13293262
ME,1995-08-14,7,24,,nhd_13293262
ME,1995-08-14,7.5,22.5,,nhd_13293262
ME,1995-08-14,8,22.1,,nhd_13293262
ME,1995-08-14,8.5,20.1,,nhd_13293262
ME,1995-08-14,9,18.8,,nhd_13293262
ME,1995-08-14,9.5,18.2,,nhd_13293262
ME,1995-08-14,10,17.8,,nhd_13293262
ME,1995-08-14,10.5,17.2,,nhd_13293262
ME,1995-08-14,11,16.6,,nhd_13293262
